# WHO AM I — the others can see it, you can't. Ask yes/no questions.
#
# Format: IDENTITY<tab>difficulty  (no decoy — that is a RINGER mechanic)
#
# Everything here must be answerable with yes/no questions by a table anywhere
# in the world. That rules out named celebrities and national figures, which are
# the usual filler in this genre and are regional almost by definition — famous
# in one country, blank stares in the next. Roles, archetypes and animals are
# universal, and they narrow down cleanly: alive? human? do you work indoors?
DOCTOR	1
NURSE	1
TEACHER	1
FARMER	1
CHEF	1
PILOT	1
TAXI DRIVER	1
BUS DRIVER	1
BARBER	2
TAILOR	2
FISHERMAN	2
BUILDER	1
PLUMBER	2
ELECTRICIAN	2
MECHANIC	1
JUDGE	2
LAWYER	2
SOLDIER	1
POLICE OFFICER	1
FIREFIGHTER	1
WAITER	1
CLEANER	1
ARCHITECT	2
DENTIST	1
LIBRARIAN	2
JOURNALIST	2
PHOTOGRAPHER	2
MUSICIAN	1
PAINTER	2
DANCER	1
SINGER	1
ACTOR	1
COMEDIAN	2
MAGICIAN	1
CLOWN	1
REFEREE	1
FOOTBALL COACH	2
GOALKEEPER	2
ASTRONAUT	1
SCIENTIST	1
ENGINEER	2
ACCOUNTANT	3
SHOPKEEPER	2
BUTCHER	2
BAKER	1
MINER	2
SAILOR	2
GARDENER	1
HAIRDRESSER	2
PHARMACIST	3
TRANSLATOR	3
BEEKEEPER	3
SHEPHERD	2
LIFEGUARD	2
POSTAL WORKER	2
KING	1
QUEEN	1
PIRATE	1
KNIGHT	1
WIZARD	1
VAMPIRE	1
GHOST	1
ROBOT	1
ALIEN	1
SUPERHERO	1
DETECTIVE	2
SPY	2
THIEF	2
EXPLORER	2
INVENTOR	3
POET	3
MONK	2
FORTUNE TELLER	3
ACROBAT	2
TOURIST	2
NEWLYWED	3
TWIN	3
BABY	1
TEENAGER	2
GRANDMOTHER	1
NEIGHBOUR	2
PASSENGER	2
PATIENT	2
STUDENT	1
ELEPHANT	1
PENGUIN	1
DOLPHIN	1
OCTOPUS	2
CROCODILE	1
GIRAFFE	1
KANGAROO	1
CAMEL	1
EAGLE	1
OWL	1
SNAKE	1
SPIDER	1
BUTTERFLY	1
BEE	1
SHARK	1
WHALE	1
TIGER	1
MONKEY	1
BEAR	1
WOLF	1
FOX	1
RABBIT	1
HORSE	1
FROG	1
TURTLE	1
BAT	2
PARROT	1
PEACOCK	2
ZEBRA	1
PANDA	1
SLOTH	2
HEDGEHOG	2
SQUIRREL	1
DONKEY	1
MOSQUITO	2
